ID,quantity,book_ID,isCancelled,createdAt,createdBy,modifiedAt,modifiedBy
87630668-4771-4300-9b02-cc5bb9ab7979,93,22026399-8ca7-44dc-bcfa-f48a7d50ceb4,true,2019-07-08T00:00:00.000Z,createdBy.57tmi@example.net,2003-06-03T00:00:00.000Z,modifiedBy.57tmi@example.com
87630674-21c6-4cfb-8c74-e87b5eb8ff90,57,22026400-9159-4601-b7db-adab7a84bdbc,false,2015-08-21T00:00:00.000Z,createdBy.57tmj@example.com,2002-06-17T00:00:00.000Z,modifiedBy.57tmj@example.org
8763068b-b20a-4c02-83e9-a9f8446e8a0c,9,22026401-0946-46eb-9f16-d7921df78361,true,2019-11-23T00:00:00.000Z,createdBy.57tmk@example.org,2015-01-07T00:00:00.000Z,modifiedBy.57tmk@example.net
87630699-0445-4b6e-959f-683e2448052c,13,22026402-11cb-4312-88db-f98452aa02e3,false,2023-07-26T00:00:00.000Z,createdBy.57tml@example.net,2000-10-10T00:00:00.000Z,modifiedBy.57tml@example.com
87630701-1b41-4b7c-9c0d-2c295aa0c456,49,22026403-6309-4197-8a29-86a75cf50130,true,2013-04-04T00:00:00.000Z,createdBy.57tmm@example.com,2014-02-24T00:00:00.000Z,modifiedBy.57tmm@example.net
8763071b-a817-4e92-8f03-41441e216fc7,26,22026404-8413-4850-b72e-166c2e52b39c,false,2003-03-20T00:00:00.000Z,createdBy.57tmn@example.org,2015-05-12T00:00:00.000Z,modifiedBy.57tmn@example.com
87630729-8324-4e32-acee-b69bfb53318e,40,22026405-c754-43bf-ad3a-324ba0b46ac9,true,2007-08-03T00:00:00.000Z,createdBy.57tmo@example.org,2017-10-09T00:00:00.000Z,modifiedBy.57tmo@example.net
87630734-30de-4cff-a551-06e35427df53,69,22026396-294f-4f7a-8e65-b23c923baf35,false,2008-10-07T00:00:00.000Z,createdBy.57tmp@example.net,2020-05-03T00:00:00.000Z,modifiedBy.57tmp@example.com
8763074c-f3ac-4228-8ebc-e968fefe3040,93,22026397-3b46-4bd6-afbf-eedad1bd3b73,true,2003-06-21T00:00:00.000Z,createdBy.57tmq@example.com,2017-12-30T00:00:00.000Z,modifiedBy.57tmq@example.com
87630757-2232-4f47-aa27-901dc1322d23,89,22026398-2ef6-4d94-bd2d-1988fda7f95d,false,2006-12-08T00:00:00.000Z,createdBy.57tmr@example.org,2023-05-27T00:00:00.000Z,modifiedBy.57tmr@example.com
